id,carat,cut,color,clarity,depth,table,price,x,y,z,g
5055,0.31,Premium,H,SI1,60.5,60,573,4.4,4.33,2.64,50.0
5056,0.31,Very Good,H,SI1,63.1,57,573,4.34,4.31,2.73,50.0
5057,0.3,Ideal,D,SI2,60.2,56,574,4.4,4.37,2.64,50.0
5058,0.31,Ideal,G,VS2,61.4,57,574,4.35,4.38,2.68,50.0
5059,0.31,Ideal,G,VS2,61.4,56,574,4.34,4.37,2.67,50.0
5060,0.34,Premium,G,SI2,62.8,58,574,4.46,4.43,2.79,50.0
5061,0.34,Very Good,F,SI2,63.3,54,574,4.48,4.46,2.83,50.0
5062,0.34,Premium,F,SI2,60,58,574,4.58,4.55,2.74,50.0
5063,0.34,Premium,F,SI2,61.7,61,574,4.48,4.44,2.75,50.0
5064,0.34,Premium,F,SI2,63,58,574,4.47,4.45,2.81,50.0
5065,0.3,Premium,G,SI1,62.6,57,574,4.34,4.25,2.69,50.0
5066,0.3,Premium,G,SI1,61.6,59,574,4.28,4.26,2.63,50.0
5067,0.3,Good,G,SI1,63.8,56,574,4.3,4.26,2.73,50.0
5068,0.3,Premium,G,SI1,61.4,57,574,4.35,4.31,2.66,50.0
5069,0.3,Premium,G,SI1,59.8,57,574,4.37,4.32,2.6,50.0
5070,0.3,Premium,G,SI1,59.7,60,574,4.39,4.35,2.61,50.0
5071,0.77,Ideal,F,VS1,61.9,54,3750,5.91,5.94,3.66,50.0
5072,0.95,Good,F,SI2,59.7,57,3750,6.41,6.45,3.84,50.0
5073,0.9,Fair,F,VS1,65.7,59,3750,5.96,5.92,3.9,50.0
5074,0.93,Premium,H,SI1,61.8,59,3750,6.27,6.23,3.86,50.0
5075,0.9,Fair,F,VS2,65.7,57,3750,6.03,5.99,3.95,50.0
5076,1.01,Premium,G,SI2,62.9,57,3750,6.39,6.33,4,50.0
5077,0.93,Fair,H,SI1,64.6,58,3750,6.13,6.07,3.94,50.0
5078,0.91,Very Good,E,SI2,63.8,60,3751,6.05,6.09,3.87,50.0
5079,1.25,Premium,J,VS2,59.8,58,3751,7.02,6.96,4.18,50.0
5080,0.92,Premium,G,SI1,61.5,60,3751,6.26,6.19,3.83,50.0
5081,0.91,Ideal,I,VS2,62.2,56,3751,6.22,6.18,3.86,50.0
5082,0.9,Fair,D,SI1,65.7,65,3751,6.06,5.94,3.94,50.0
5083,0.9,Very Good,G,SI1,63.3,56,3752,6.08,6.11,3.86,50.0
5084,0.9,Very Good,G,SI1,63.8,57,3752,6.04,6.13,3.88,50.0
5085,0.7,Ideal,D,VS1,61.4,54.2,3752,5.72,5.76,3.52,50.0
5086,0.9,Good,G,SI1,60,61,3752,6.19,6.22,3.72,50.0
5087,1,Good,E,SI2,57.9,59,3752,6.65,6.51,3.8,50.0
5088,1,Premium,E,SI2,61,59,3752,6.4,6.33,3.89,50.0
5089,1.06,Very Good,J,SI2,62,58,3754,6.45,6.53,4.04,50.0
5090,1.02,Fair,F,SI2,65.5,59,3754,6.27,6.24,4.1,50.0
5091,1.02,Premium,F,SI2,62.5,58,3754,6.47,6.4,4.02,50.0
5092,0.9,Good,D,SI1,64.1,56,3755,6.04,6.07,3.88,50.0
5093,0.9,Good,D,SI1,63.6,63,3755,6.03,6.07,3.85,50.0
5094,1.14,Ideal,F,I1,61.7,57,3755,6.67,6.7,4.13,50.0
5095,1.03,Very Good,G,SI2,63,60,3755,6.35,6.39,4.01,50.0
5096,1.02,Very Good,J,SI2,62.9,59,3755,6.34,6.41,4.01,50.0
5097,0.77,Ideal,D,VS2,61.8,56,3755,5.9,5.84,3.63,50.0
5098,0.91,Ideal,E,SI2,62.7,57,3756,6.19,6.26,3.9,50.0
5099,0.91,Very Good,H,SI2,63.3,58,3756,6.11,6.06,3.85,50.0
5100,0.81,Ideal,F,VS2,61.7,57,3756,5.97,6.02,3.7,51.0
5101,1.01,Good,J,SI2,59.5,62,3756,6.42,6.46,3.83,51.0
5102,0.86,Fair,G,VS1,64.6,58.8,3756,5.95,6.04,3.87,51.0
5103,0.73,Ideal,E,VS1,61.7,57,3758,5.77,5.8,3.57,51.0
5104,0.94,Premium,E,SI2,60.4,59,3758,6.37,6.34,3.84,51.0
5105,0.61,Ideal,D,VVS2,61.7,56,3758,5.47,5.42,3.36,51.0
5106,0.72,Ideal,F,VS1,61.6,56,3759,5.76,5.79,3.56,51.0
5107,0.72,Ideal,F,VS1,61.5,56,3759,5.77,5.8,3.56,51.0
5108,0.72,Ideal,F,VS1,60.7,57,3759,5.79,5.87,3.54,51.0
5109,0.72,Ideal,F,VS1,61.7,56,3759,5.75,5.78,3.56,51.0
5110,0.72,Ideal,F,VS1,61.4,56,3759,5.75,5.79,3.54,51.0
5111,0.72,Ideal,F,VS1,61,55,3759,5.77,5.81,3.53,51.0
5112,0.72,Ideal,F,VS1,61.3,56,3759,5.74,5.78,3.54,51.0
5113,0.72,Ideal,F,VS1,61.5,56,3759,5.74,5.77,3.53,51.0
5114,0.72,Ideal,F,VS1,60.5,56,3759,5.82,5.85,3.53,51.0
5115,0.71,Very Good,E,VVS2,60.3,52,3760,5.8,5.87,3.52,51.0
5116,0.79,Ideal,G,VVS2,62.1,56,3760,5.89,5.93,3.67,51.0
5117,1.09,Ideal,E,SI2,59.4,57,3760,6.74,6.65,3.98,51.0
5118,0.74,Ideal,H,IF,60.9,57,3760,5.83,5.85,3.56,51.0
5119,1.01,Premium,I,SI2,60.5,61,3761,6.47,6.42,3.9,51.0
5120,0.72,Very Good,F,VVS1,62.1,55,3762,5.72,5.78,3.57,51.0
5121,0.91,Very Good,H,SI1,62.7,56,3762,6.14,6.18,3.86,51.0
5122,1.04,Ideal,J,SI2,60.4,57,3762,6.55,6.6,3.97,51.0
5123,0.92,Very Good,F,SI2,62.9,58,3763,6.18,6.22,3.9,51.0
5124,0.91,Very Good,E,SI2,62.9,56,3763,6.14,6.17,3.87,51.0
5125,0.91,Very Good,G,SI1,63.4,59,3763,6.2,6.14,3.91,51.0
5126,0.7,Ideal,G,VVS1,61.6,57,3763,5.69,5.73,3.52,51.0
5127,0.78,Ideal,D,VS2,61.9,56,3763,5.88,5.94,3.66,51.0
5128,0.92,Ideal,F,SI2,61.5,56,3763,6.27,6.32,3.87,51.0
5129,0.91,Ideal,F,SI2,60.3,57,3763,6.26,6.34,3.8,51.0
5130,0.91,Good,D,SI2,64.7,57,3763,6.02,6.04,3.9,51.0
5131,1,Fair,E,SI2,64.6,54,3763,6.33,6.27,4.07,51.0
5132,1,Good,E,SI2,57.7,65,3763,6.59,6.55,3.79,51.0
5133,1,Fair,I,VS1,65.3,55,3763,6.34,6.25,4.11,51.0
5134,1,Premium,I,VS1,60.3,62,3763,6.46,6.41,3.88,51.0
5135,1,Premium,E,SI2,60.7,58,3763,6.45,6.38,3.9,51.0
5136,1,Good,I,VS1,64,53,3763,6.34,6.28,4.04,51.0
5137,1.2,Ideal,H,I1,58.6,57,3763,7.01,6.96,4.09,51.0
5138,1.12,Ideal,H,SI2,61.4,56,3763,6.69,6.66,4.1,51.0
5139,1,Premium,I,VS1,60.1,62,3763,6.5,6.47,3.9,51.0
5140,1,Fair,E,SI2,69,56,3763,6.01,5.94,4.12,51.0
5141,1,Very Good,E,SI2,63.2,56,3763,6.4,6.32,4.02,51.0
5142,0.91,Premium,G,SI1,62.6,56,3763,6.21,6.16,3.87,51.0
5143,1.22,Fair,G,SI2,64.7,61,3763,6.75,6.68,4.34,51.0
5144,1,Very Good,E,SI2,63.5,56,3763,6.37,6.3,4.02,51.0
5145,0.9,Very Good,I,VS2,62.8,52,3764,6.19,6.23,3.9,51.0
5146,1.51,Fair,H,I1,65.6,61,3765,7.16,7,4.66,51.0
5147,1.03,Fair,G,SI2,65.6,58,3765,6.3,6.26,4.12,51.0
5148,0.93,Very Good,I,VS2,63.1,58,3766,6.19,6.21,3.91,51.0
5149,0.85,Ideal,G,SI1,62.1,56,3766,6.05,6.1,3.77,51.0
5150,1.01,Premium,I,SI2,59.6,62,3767,6.56,6.5,3.89,51.0
5151,0.76,Premium,E,VVS2,60.6,59,3767,5.94,5.85,3.57,51.0
5152,1,Fair,D,SI2,65.6,66,3767,6.1,6.01,3.97,51.0
5153,1.01,Good,F,SI2,64,56,3768,6.25,6.32,4.02,51.0
5154,1.01,Good,F,SI2,63.1,58,3768,6.34,6.38,4.01,51.0
5155,0.96,Premium,H,SI1,62.7,58,3768,6.27,6.24,3.92,51.0
5156,1.02,Premium,D,I1,61.4,60,3769,6.42,6.47,3.96,51.0
5157,1.02,Very Good,I,SI2,63.4,57,3769,6.37,6.4,4.05,51.0
5158,1.02,Premium,H,SI2,59.2,59,3769,6.57,6.54,3.88,51.0
5159,1,Good,J,VS2,58.7,61,3769,6.5,6.52,3.82,51.0
5160,0.9,Good,F,SI2,58,57,3770,6.34,6.41,3.7,51.0
5161,0.9,Very Good,F,SI2,62,61,3770,6.14,6.16,3.81,51.0
5162,0.9,Very Good,F,SI2,61.4,62,3770,6.11,6.2,3.78,51.0
5163,0.9,Premium,F,SI2,61.5,59,3770,6.2,6.23,3.82,51.0
5164,1.01,Very Good,I,SI2,62.1,56,3770,6.41,6.45,3.99,51.0
5165,0.9,Very Good,H,SI1,60.8,57,3770,6.22,6.25,3.79,51.0
5166,0.9,Ideal,H,SI2,61.5,56,3770,6.24,6.18,3.82,51.0
5167,1.02,Good,H,SI2,57.9,61,3770,6.75,6.68,3.89,51.0
5168,0.91,Very Good,H,SI1,63.4,56,3771,6.18,6.1,3.89,51.0
5169,0.91,Very Good,E,SI2,63,56,3772,6.12,6.16,3.87,51.0
5170,0.9,Very Good,H,SI1,61.7,57,3772,6.21,6.26,3.85,51.0
5171,0.91,Ideal,E,SI2,62.6,57,3772,6.13,6.18,3.85,51.0
5172,0.71,Ideal,G,IF,61.8,57,3772,5.7,5.75,3.54,51.0
5173,1.02,Good,D,SI2,58.9,65,3773,6.54,6.59,3.87,51.0
5174,0.71,Ideal,E,VS2,61.9,55,3773,5.68,5.72,3.53,51.0
5175,1.04,Premium,I,SI2,62,57,3774,6.53,6.47,4.03,51.0
5176,1.04,Premium,I,SI2,62,57,3774,6.53,6.47,4.03,51.0
5177,0.83,Very Good,I,VVS1,61.8,56,3774,6,6.03,3.72,51.0
5178,1.29,Very Good,F,I1,58.2,61,3774,7.11,7.15,4.15,51.0
5179,0.9,Premium,G,SI1,62.9,58,3774,6.11,6.02,3.82,51.0
5180,0.9,Premium,G,SI1,60.6,61,3774,6.21,6.16,3.75,51.0
5181,0.91,Ideal,E,SI2,62.5,56,3774,6.16,6.19,3.86,51.0
5182,0.83,Ideal,D,SI2,62,55,3774,6.02,6.05,3.74,51.0
5183,0.83,Ideal,F,SI1,62,55,3774,6.03,6.07,3.75,51.0
5184,0.9,Premium,G,SI1,61.3,60,3774,6.17,6.14,3.77,51.0
5185,0.9,Premium,G,SI1,62.7,59,3774,6.14,6.1,3.84,51.0
5186,0.9,Good,G,SI1,63.8,61,3774,6.09,6.05,3.87,51.0
5187,0.8,Ideal,H,IF,61.1,56,3774,6.02,5.96,3.66,51.0
5188,0.9,Premium,G,SI1,62.7,58,3774,6.13,6.08,3.83,51.0
5189,0.83,Ideal,E,SI1,61.6,56,3775,6.03,6.05,3.72,51.0
5190,0.9,Good,H,VS2,63.6,55,3775,6.14,6.09,3.89,51.0
5191,1.07,Ideal,J,SI1,60.8,56,3775,6.61,6.57,4.01,51.0
5192,1.07,Premium,H,SI2,60,59,3775,6.6,6.56,3.95,51.0
5193,0.91,Very Good,G,VS2,62.7,63,3776,6.05,6,3.78,51.0
5194,0.91,Good,G,SI1,63.5,61,3776,6.05,6.1,3.86,51.0
5195,1.06,Ideal,I,SI2,61.4,57,3777,6.57,6.63,4.05,51.0
5196,0.73,Ideal,G,VVS2,62.4,57,3777,5.71,5.79,3.59,51.0
5197,1.01,Ideal,F,SI2,61.3,57,3777,6.4,6.35,3.91,51.0
5198,0.71,Premium,E,VVS1,62.7,60,3779,5.73,5.62,3.56,51.0
5199,0.9,Good,F,SI1,62.7,58,3780,6.11,6.13,3.84,51.0
5200,0.9,Good,F,SI1,62.9,57,3780,6.08,6.13,3.84,52.0
5201,0.9,Very Good,F,SI1,61.3,58,3780,6.08,6.13,3.74,52.0
5202,0.73,Ideal,E,VVS2,62,57,3780,5.73,5.79,3.57,52.0
5203,1.04,Very Good,D,SI2,63.1,58,3780,6.39,6.33,4.01,52.0
5204,1.04,Premium,D,SI2,58.3,58,3780,6.67,6.63,3.88,52.0
5205,1,Good,J,SI1,63.8,59,3780,6.34,6.27,4.02,52.0
5206,1.04,Premium,G,SI1,60.3,58,3780,6.6,6.55,3.96,52.0
5207,1,Premium,J,SI1,62.8,59,3780,6.37,6.27,3.97,52.0
5208,1,Fair,J,SI1,64.7,52,3780,6.35,6.3,4.09,52.0
5209,1,Premium,I,SI2,62.5,56,3780,6.38,6.3,3.96,52.0
5210,0.9,Ideal,G,SI1,60.3,56,3780,6.27,6.23,3.77,52.0
5211,0.9,Premium,D,SI2,59.8,61,3780,6.21,6.17,3.7,52.0
5212,0.72,Ideal,F,VVS2,60.9,56,3780,5.83,5.77,3.53,52.0
5213,1,Premium,J,SI1,60.8,58,3780,6.44,6.39,3.9,52.0
5214,1,Premium,I,SI2,61.6,59,3780,6.41,6.34,3.93,52.0
5215,0.9,Premium,F,SI2,62.7,58,3780,6.16,6.09,3.84,52.0
5216,1.04,Fair,D,SI2,65.8,58,3780,6.32,6.25,4.13,52.0
5217,1.5,Premium,D,I1,62.4,60,3780,7.37,7.19,4.54,52.0
5218,0.82,Ideal,H,VVS2,61.4,56,3781,6.01,6.05,3.71,52.0
5219,0.91,Premium,D,SI2,62.3,57,3781,6.22,6.14,3.85,52.0
5220,0.91,Good,D,SI2,63.8,58,3781,6.09,6.04,3.87,52.0
5221,1.2,Premium,J,SI2,61.7,57,3782,6.85,6.79,4.21,52.0
5222,1.01,Premium,H,SI2,62.3,60,3782,6.39,6.32,3.96,52.0
5223,1.01,Premium,I,SI1,62.8,58,3782,6.4,6.34,4,52.0
5224,1.07,Very Good,J,SI2,61.6,54,3783,6.57,6.59,4.05,52.0
5225,0.73,Ideal,G,VVS2,61,56,3783,5.82,5.86,3.56,52.0
5226,0.69,Ideal,F,VVS1,61.6,56,3784,5.69,5.71,3.51,52.0
5227,0.73,Ideal,H,IF,62.3,55,3785,5.77,5.79,3.6,52.0
5228,0.92,Good,I,VS2,59.6,61,3785,6.28,6.34,3.76,52.0
5229,1.02,Ideal,I,SI2,60.7,57,3786,6.54,6.57,3.98,52.0
5230,1.02,Good,I,SI2,63.6,56,3786,6.37,6.4,4.06,52.0
5231,0.77,Ideal,G,VS2,61.7,55,3786,5.89,5.91,3.64,52.0
5232,1.04,Ideal,H,SI2,60.5,57,3786,6.55,6.51,3.95,52.0
5233,0.77,Very Good,D,VS2,59.6,57,3787,6.01,6.03,3.59,52.0
5234,0.9,Very Good,G,SI2,63.2,58,3787,6.05,6.1,3.84,52.0
5235,0.9,Very Good,F,SI2,62.4,59,3787,6.1,6.17,3.83,52.0
5236,1.16,Premium,F,SI2,62.1,59,3787,6.74,6.63,4.15,52.0
5237,0.85,Ideal,E,SI2,60.1,56,3787,6.17,6.18,3.71,52.0
5238,0.9,Fair,F,SI2,62.6,58,3787,6.01,6.06,3.78,52.0
5239,1.02,Fair,G,SI2,65.3,58,3787,6.33,6.22,4.1,52.0
