created_data,Text,PictureLink
2018-03-12T22:18:07+0000,"At the Google Assistant Fun House, it’s always a #HeyGoogle day in the neighborhood. Take a spin before we ride off into the SXSW sunset.","['home', 'property', 'residential area', 'house', 'tree', 'mode of transport', 'plant', 'home fencing', 'real estate', 'outdoor structure']"
2018-03-08T01:06:25+0000,"From our homepage, to search trends and more, here's how we're celebrating women’s voices around the world on International Women's Day → https://goo.gl/7LePpd","['fashion accessory', 'product', 'product', 'technology', 'font', 'recreation', 'body jewelry', 'brand']"
2018-03-07T18:28:37+0000,"You might miss a call, but you won't miss the moment. Starting today on Google Duo, you can leave a video message when the person you’re calling can’t pick up → https://g.co/tddm3t","['mobile phone', 'telephony', 'mobile phone accessories', 'communication device', 'mobile phone case', 'gadget', 'technology', 'product', 'portable communications device', 'product']"
2018-03-07T15:58:36+0000,"On #IWD2018, let’s celebrate the people who are advocating for a more equal world, and the inspiring moments they create. Explore top searched trends around women at g.co/womensday.","['structure', 'mode of transport', 'sport venue', 'phenomenon', 'line', 'recreation', 'sky', 'fun']"
2018-03-06T18:38:17+0000,"Join Talks at Google and Made with Code as they welcome the warriors of Disney #WrinkleInTime for an #IWD2018 live talk.

👀 Oprah Winfrey, Ava DuVernay, Storm Reid and Gugu Mbatha-Raw
📅 3/8
🕒 11:45 a.m. ET
📍g.co/TalksAtGoogle/WrinkleInTime","['text', 'font', 'product', 'design', 'graphic design', 'paper', 'brand', 'advertising', 'graphics', 'banner']"
2018-03-05T02:20:30+0000,"Over 1 million Actions made easier...on your phone, in your car, and around the house. See everything the Google Assistant can do when you say #HeyGoogle → g.co/assistant","['mammal', 'sports', 'recreation', 'team', 'product', 'tree', 'sports equipment']"
2018-03-01T18:22:07+0000,"🎵 Let's make some music! We’ve created a new #ChromeMusicLab experiment called Song Maker, a simple way for anyone to make a song and share it → https://goo.gl/ECNmQP","['line', 'square', 'design', 'area', 'pattern', 'material', 'rectangle', 'symmetry', 'product', 'font']"
2018-02-22T20:14:50+0000,"This week, attorney and activist Angela Rye celebrates and honors the changemakers who empower her. Learn more at g.co/blackhistory. #BlackHistoryMonth","['woman', 'outerwear', 'fashion', 'textile', 'human', 'girl', 'product', 'top', 'pattern']"
2018-02-21T21:07:05+0000,"Actors, Olympians, baseball players, educators and more: it’s time to meet this year's epic panel of #Doodle4Google judges → goo.gl/2WLUCJ","['text', 'font', 'product', 'number', 'line', 'area', 'symbol', 'logo', 'pattern', 'graphics']"
2018-02-20T18:21:47+0000,"Say 👋 to Google Pay – the fast, simple way to pay that also keeps everything you need to speed through checkout → goo.gl/Xnnc7M","['text', 'logo', 'font', 'body jewelry', 'brand', 'graphics', 'symbol']"
2018-02-15T18:07:16+0000,"This week, actress and activist Yara Shahidi celebrates and honors the Black women who empower her. Learn more at g.co/blackhistory. #BlackHistoryMonth","['woman', 'human', 'outerwear', 'girl', 'recreation', 'product']"
2018-02-09T21:41:55+0000,"It's opening day of the #GoogleDoodle Snow Games! Get ready for two weeks of competition with some very koala-fied critters who will leap, crawl, or slither their way home as heroes → https://goo.gl/wJrxZb","['blue', 'text', 'technology', 'product', 'product', 'font', 'signage', 'brand', 'communication', 'angle']"
2018-02-07T23:40:36+0000,"To celebrate Black History, NAS pays homage to a long tradition of Black musicians and storytellers who empower us today. Learn more at g.co/blackhistory. #BlackHistoryMonth","['person', 'suit', 'formal wear', 'public speaking', 'phenomenon', 'fashion', 'official', 'human', 'profession', 'professional']"
2018-02-07T20:15:01+0000,"From your #GoogleAssistant to Search and #StreetView, we've got six ways Google can keep you up to speed in PyeongChang. Let the games begin → https://goo.gl/oHgAZA","['blue', 'text', 'font', 'product', 'line', 'design', 'organism', 'material', 'fictional character', 'pattern']"
2018-02-06T19:38:32+0000,"On #SaferInternetDay, explore online safety resources for families that help enable parents to provide a safer and inspiring experience for their kids online → goo.gl/7QFJGV","['woman', 'community', 'textile', 'senior citizen', 'girl', 'education', 'communication', 'recreation', 'conversation', 'professional']"
2018-02-04T20:05:01+0000,"Take the field today with your Google Assistant—#HeyGoogle, who's going to win the game?","['yellow', 'text', 'font', 'product', 'banner', 'design', 'pattern', 'recreation', 'graphics', 'plant']"
2018-02-03T18:03:25+0000,"On the big day, bring on the football. “Hey Google, watch the Super Bowl on NBC with YouTube TV” → goo.gl/m4gc77","['room', 'furniture', 'product', 'table', 'girl']"
2018-02-01T16:24:01+0000,"Illustrator Shannon Wright helps us mark the start of #BlackHistoryMonth with a #GoogleDoodle celebrating Carter G. Woodson, known as the ""Father of Black History"" → https://goo.gl/zgkqgv","['mode of transport', 'human behavior', 'product', 'recreation', 'communication', 'guitar accessory', 'shoe', 'furniture']"
2018-01-19T18:17:39+0000,This year’s #Doodle4Google contest is officially open–which means one K-12 artist will get to see their inspiring work on our homepage! → goo.gl/he3YUT,"['text', 'product', 'font', 'product', 'line', 'area', 'clip art', 'human behavior', 'graphics', 'logo']"
2018-01-17T20:53:03+0000,"Guess we kicked off #MuseumSelfieDay a little early this year? 🤳 

Here's how Google Arts & Culture has been bringing people face to face with art…through selfies → goo.gl/6ePZJ5","['mobile phone', 'communication device', 'telephony', 'technology', 'portable media player', 'product', 'feature phone', 'electronic device', 'gadget', 'electronics']"
2018-01-16T17:37:54+0000,"To create a new pathway to roles in IT support, today we're launching the Google IT Support Professional Certificate, hosted on Coursera → https://goo.gl/1vd9J1 #GrowWithGoogle","['person', 'mammal', 'day', 'head', 'sitting', 'smile', 'human', 'organ', 'girl', 'finger']"
